"Refs","Value","Footprint","Qty","Datasheet"
"BZ1","PS1240","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","1",""
"C1","100u/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","22u/16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C3-C9","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","7",""
"C10","10u/16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2","ACT amber","LED_THT:LED_D5.0mm","1",""
"D3","PWR green","LED_THT:LED_D5.0mm","1",""
"FG1","FRAME GND","pico506-lib:Faston_Tab_AMP61761","1",""
"H1-H4","M3","MountingHole:MountingHole_3.2mm_M3","4",""
"J1","ST-506 CONTROL","pico506-lib:EdgeConn_ST506_J1_34","1",""
"J2","ST-506 DATA","pico506-lib:EdgeConn_ST506_J2_20","1",""
"J3","AMP 350211-1","pico506-lib:PWR_MATE-N-LOK_350211_Horizontal","1",""
"J4","DRIVE SELECT","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J5","UART","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J6","SERVO GATE 3V3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J7","FRONT LED","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"JP1","WF EN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1-R9,R16","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","10",""
"R10,R14,R15","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R11,R12","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R13","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R17-R20","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R21","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R22","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RN1","220","Resistor_THT:R_Array_SIP9","1",""
"RN2","330","Resistor_THT:R_Array_SIP9","1",""
"SD1","SD socket","pico506-lib:SD_Hirose_DM1AA_SF_PEJ82","1",""
"SW1","RESET","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","1",""
"TP1","+12V","TestPoint:TestPoint_Pad_D2.0mm","1",""
"U1","Raspberry Pi Pico","pico506-lib:RaspberryPi_Pico_Common_THT","1",""
"U2,U3","74LS05","Package_DIP:DIP-14_W7.62mm","2",""
"U4,U5","7438","Package_DIP:DIP-14_W7.62mm","2",""
"U6","AM26LS31CN","Package_DIP:DIP-16_W7.62mm","1",""
"U7","MC3486N","Package_DIP:DIP-16_W7.62mm","1",""
