Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","PS1240","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",43.000000,-42.000000,0.000000,top
"C1","100u/16V","CP_Radial_D6.3mm_P2.50mm",57.000000,-82.000000,0.000000,top
"C2","22u/16V","CP_Radial_D5.0mm_P2.50mm",59.600000,-72.000000,0.000000,top
"C3","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",65.300000,-71.000000,-90.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",78.300000,-71.000000,-90.000000,top
"C5","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",91.300000,-71.000000,-90.000000,top
"C6","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",104.300000,-71.000000,-90.000000,top
"C7","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",125.200000,-71.000000,-90.000000,top
"C8","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",138.800000,-71.000000,-90.000000,top
"C9","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",122.800000,-52.000000,0.000000,top
"C10","10u/16V","CP_Radial_D5.0mm_P2.50mm",123.200000,-45.000000,0.000000,top
"D1","1N5817","D_DO-41_SOD81_P10.16mm_Horizontal",46.500000,-72.000000,0.000000,top
"D2","ACT amber","LED_D5.0mm",36.000000,-62.600000,0.000000,top
"D3","PWR green","LED_D5.0mm",36.000000,-55.400000,0.000000,top
"FG1","FRAME GND","Faston_Tab_AMP61761",123.500000,-98.000000,0.000000,top
"J1","ST-506 CONTROL","EdgeConn_ST506_J1_34",84.100000,-104.000000,0.000000,top
"J2","ST-506 DATA","EdgeConn_ST506_J2_20",151.450000,-104.000000,0.000000,top
"J3","AMP 350211-1","PWR_MATE-N-LOK_350211_Horizontal",42.920000,-93.840000,0.000000,top
"J4","DRIVE SELECT","PinHeader_2x04_P2.54mm_Vertical",118.120000,-91.000000,-90.000000,top
"J5","UART","PinHeader_1x03_P2.54mm_Vertical",76.000000,-33.000000,90.000000,top
"J6","SERVO GATE 3V3","PinHeader_1x02_P2.54mm_Vertical",88.000000,-33.000000,90.000000,top
"J7","FRONT LED","PinHeader_1x02_P2.54mm_Vertical",56.000000,-34.000000,90.000000,top
"JP1","WF EN","PinHeader_1x02_P2.54mm_Vertical",96.000000,-33.000000,90.000000,top
"Q1","2N3904","TO-92_Inline",42.300000,-60.000000,0.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",64.000000,-61.000000,0.000000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",90.000000,-65.000000,0.000000,top
"R3","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",103.000000,-61.000000,0.000000,top
"R4","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",87.160000,-61.000000,180.000000,top
"R5","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",103.000000,-65.000000,0.000000,top
"R6","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",126.160000,-61.000000,180.000000,top
"R7","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",126.160000,-65.000000,180.000000,top
"R8","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",90.000000,-61.000000,0.000000,top
"R9","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",64.000000,-65.000000,0.000000,top
"R10","470","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",120.000000,-52.000000,90.000000,top
"R11","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",54.000000,-47.400000,90.000000,top
"R12","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",156.000000,-92.000000,90.000000,top
"R13","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",48.000000,-60.000000,90.000000,top
"R14","470","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",52.000000,-60.000000,90.000000,top
"R15","470","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",60.000000,-60.000000,90.000000,top
"R16","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",56.000000,-60.000000,90.000000,top
